,date,value,EUR
0,03/31/2001,"$1,441.20",
1,03/31/2002,"$1,436.50",
2,03/31/2003,"$1,790.30",
3,03/31/2004,"$2,027.50","1,153.60"
4,03/31/2005,"$2,332.70","1,024.30"
5,03/31/2006,"$2,958.20",975.90
6,03/31/2007,"$3,324.80",940.80
7,03/31/2008,"$3,924.80",991.70
8,03/31/2009,"$3,430.10","1,377.10"
9,03/31/2010,"$3,533.90","1,130.80"
10,03/31/2011,"$4,857.90","1,107.20"
11,03/31/2012,"$5,013.30","1,134.20"
12,03/31/2013,"$4,903.60","1,112.50"
13,03/31/2014,"$4,901.90","1,068.80"
14,03/31/2015,"$4,531.50","1,105.00"
15,03/31/2016,"$5,261.20","1,153.50"
16,03/31/2017,"$6,043.60","1,116.10"
17,03/31/2018,"$6,819.60","1,064.40"
18,03/31/2019,"$6,681.90","1,136.10"
19,06/30/2001,"$1,197.00",
20,06/30/2002,"$1,384.90",
21,06/30/2003,"$2,958.20",
22,06/30/2004,"$1,696.30","1,152.50"
23,06/30/2005,"$1,911.70","1,024.40"
24,06/30/2006,"$3,049.60",960.30
25,06/30/2007,"$3,235.20",925.70
26,06/30/2008,"$3,940.30","1,043.40"
27,06/30/2009,"$3,346.40","1,284.70"
28,06/30/2010,"$3,722.10","1,210.30"
29,06/30/2011,"$4,359.80","1,078.10"
30,06/30/2012,"$4,326.00","1,151.90"
31,06/30/2013,"$4,501.90","1,145.30"
32,06/30/2014,"$4,630.70","1,014.40"
33,06/30/2015,"$4,321.10","1,124.10"
34,06/30/2016,"$4,995.10","1,164.70"
35,06/30/2017,"$5,541.30","1,139.60"
36,06/30/2018,"$6,274.30","1,117.20"
37,06/30/2019,"$6,192.10","1,156.40"
38,09/30/2001,"$1,594.90",
39,09/30/2002,"$1,838.10",
40,09/30/2003,"$2,087.20",
41,09/30/2004,"$2,387.90","1,147.90"
42,09/30/2005,"$2,347.30","1,038.00"
43,09/30/2006,"$3,762.90",944.80
44,09/30/2007,"$4,040.90",917.30
45,09/30/2008,"$4,646.10","1,187.70"
46,09/30/2009,"$4,127.00","1,188.70"
47,09/30/2010,"$4,867.90","1,142.00"
48,09/30/2011,"$5,301.20","1,179.50"
49,09/30/2012,"$5,222.10","1,112.90"
50,09/30/2013,"$5,194.00","1,075.60"
51,09/30/2014,"$5,464.10","1,050.60"
52,09/30/2015,"$5,294.20","1,194.50"
53,09/30/2016,"$6,040.90","1,096.30"
54,09/30/2017,"$6,672.20",
55,09/30/2018,"$6,828.50","1,110.20"
56,09/30/2019,,"1,201.30"
57,12/31/2001,"$1,249.90",
58,12/31/2002,"$1,429.30",
59,12/31/2003,"$1,612.60",
60,12/31/2004,"$1,859.90","1,043.80"
61,12/31/2005,"$1,810.00","1,013.00"
62,12/31/2006,"$2,899.90",929.60
63,12/31/2007,"$3,505.10",938.20
64,12/31/2008,"$3,395.10","1,257.50"
65,12/31/2009,"$3,522.90","1,167.60"
66,12/31/2010,"$4,048.70","1,138.90"
67,12/31/2011,"$4,297.30","1,153.30"
68,12/31/2012,"$4,332.90","1,071.10"
69,12/31/2013,"$4,781.10","1,055.30"
70,12/31/2014,"$3,985.00","1,099.20"
71,12/31/2015,"$4,635.60","1,172.00"
72,12/31/2016,"$5,050.30","1,208.50"
73,12/31/2017,"$5,725.60","1,071.40"
74,12/31/2018,"$5,959.20","1,118.10"
