date,nikegt,adidasgt,pumagt
2004-01-01,35,16,11
2004-02-01,38,18,12
2004-03-01,44,20,14
2004-04-01,51,20,15
2004-05-01,47,20,14
2004-06-01,48,21,14
2004-07-01,47,21,13
2004-08-01,47,22,14
2004-09-01,44,19,14
2004-10-01,44,18,12
2004-11-01,44,19,12
2004-12-01,46,19,13
2005-01-01,42,18,12
2005-02-01,50,20,12
2005-03-01,50,25,15
2005-04-01,51,25,15
2005-05-01,49,22,14
2005-06-01,46,21,13
2005-07-01,45,21,14
2005-08-01,47,24,15
2005-09-01,43,22,14
2005-10-01,44,20,13
2005-11-01,48,22,13
2005-12-01,47,22,14
2006-01-01,41,20,13
2006-02-01,46,21,14
2006-03-01,50,23,15
2006-04-01,64,27,16
2006-05-01,61,27,15
2006-06-01,57,32,17
2006-07-01,49,27,17
2006-08-01,49,23,16
2006-09-01,47,22,14
2006-10-01,44,19,14
2006-11-01,43,19,13
2006-12-01,45,20,14
2007-01-01,39,18,12
2007-02-01,40,19,12
2007-03-01,42,21,13
2007-04-01,43,22,15
2007-05-01,41,21,14
2007-06-01,41,20,13
2007-07-01,42,22,14
2007-08-01,44,22,14
2007-09-01,45,22,13
2007-10-01,41,20,12
2007-11-01,41,21,12
2007-12-01,44,22,13
2008-01-01,41,19,12
2008-02-01,43,21,13
2008-03-01,45,22,13
2008-04-01,46,23,13
2008-05-01,47,22,13
2008-06-01,46,24,13
2008-07-01,46,22,13
2008-08-01,50,24,15
2008-09-01,45,23,13
2008-10-01,41,20,11
2008-11-01,43,21,11
2008-12-01,47,22,12
2009-01-01,41,20,11
2009-02-01,42,21,11
2009-03-01,47,23,12
2009-04-01,46,23,14
2009-05-01,44,23,12
2009-06-01,44,23,11
2009-07-01,45,23,11
2009-08-01,49,24,12
2009-09-01,46,24,12
2009-10-01,45,22,10
2009-11-01,44,23,10
2009-12-01,47,24,11
2010-01-01,42,22,10
2010-02-01,44,22,10
2010-03-01,46,25,11
2010-04-01,48,26,11
2010-05-01,48,26,11
2010-06-01,47,29,11
2010-07-01,46,27,10
2010-08-01,49,26,11
2010-09-01,47,25,10
2010-10-01,45,24,9
2010-11-01,47,24,10
2010-12-01,48,26,10
2011-01-01,45,23,9
2011-02-01,45,23,9
2011-03-01,47,26,9
2011-04-01,50,27,10
2011-05-01,46,24,9
2011-06-01,45,24,9
2011-07-01,46,26,9
2011-08-01,49,27,10
2011-09-01,50,26,9
2011-10-01,46,25,9
2011-11-01,47,26,9
2011-12-01,52,28,9
2012-01-01,48,25,8
2012-02-01,53,25,8
2012-03-01,55,27,9
2012-04-01,58,28,9
2012-05-01,52,26,9
2012-06-01,54,28,9
2012-07-01,56,27,9
2012-08-01,63,29,10
2012-09-01,56,28,9
2012-10-01,51,25,8
2012-11-01,53,24,8
2012-12-01,58,26,8
2013-01-01,55,24,8
2013-02-01,55,24,8
2013-03-01,58,27,9
2013-04-01,59,27,9
2013-05-01,57,26,9
2013-06-01,56,25,9
2013-07-01,57,26,8
2013-08-01,64,28,9
2013-09-01,60,27,8
2013-10-01,57,26,8
2013-11-01,62,27,8
2013-12-01,68,28,9
2014-01-01,64,26,8
2014-02-01,69,27,8
2014-03-01,75,30,9
2014-04-01,76,30,9
2014-05-01,74,29,9
2014-06-01,76,32,10
2014-07-01,75,37,10
2014-08-01,77,34,10
2014-09-01,72,32,9
2014-10-01,68,30,9
2014-11-01,73,32,9
2014-12-01,81,34,9
2015-01-01,75,32,8
2015-02-01,74,35,8
2015-03-01,83,38,9
2015-04-01,81,40,9
2015-05-01,79,39,9
2015-06-01,77,39,9
2015-07-01,77,39,9
2015-08-01,84,44,9
2015-09-01,77,43,9
2015-10-01,76,40,9
2015-11-01,83,44,10
2015-12-01,89,50,11
2016-01-01,79,49,9
2016-02-01,81,52,10
2016-03-01,85,57,11
2016-04-01,84,58,12
2016-05-01,79,54,11
2016-06-01,79,56,11
2016-07-01,77,56,11
2016-08-01,80,57,12
2016-09-01,76,56,14
2016-10-01,73,54,12
2016-11-01,80,59,12
2016-12-01,85,63,14
2017-01-01,73,54,12
2017-02-01,72,56,12
2017-03-01,80,60,16
2017-04-01,76,59,15
2017-05-01,70,53,12
2017-06-01,70,54,12
2017-07-01,75,55,12
2017-08-01,79,57,13
2017-09-01,77,53,12
2017-10-01,73,52,11
2017-11-01,86,61,12
2017-12-01,87,62,12
2018-01-01,74,53,12
2018-02-01,74,51,12
2018-03-01,79,54,13
2018-04-01,79,56,13
2018-05-01,73,50,12
2018-06-01,76,54,12
2018-07-01,80,56,12
2018-08-01,82,54,13
2018-09-01,100,52,12
2018-10-01,73,47,12
2018-11-01,88,55,13
2018-12-01,92,54,13
2019-01-01,79,48,13
2019-02-01,81,46,13
2019-03-01,86,52,13
2019-04-01,82,50,13
2019-05-01,81,49,13
2019-06-01,80,50,12
2019-07-01,86,51,13
2019-08-01,91,53,13
2019-09-01,84,49,13
2019-10-01,81,45,13
