,date,value,USD
0,02/28/1989,$464.66,
1,02/28/1990,$577.87,
2,02/28/1991,$802.21,
3,02/28/1993,$972.00,
4,02/28/1994,$871.84,
5,02/28/1995,"$1,124.70",
6,02/28/1997,"$2,423.60",
7,02/28/1998,"$2,224.00",
8,02/28/1999,"$2,176.80",
9,02/28/2001,"$2,170.10",
10,02/28/2002,"$2,260.30",
11,02/28/2003,"$2,400.90",
12,02/28/2005,"$3,308.20","1,008.10"
13,02/28/2006,"$3,612.80",969.00
14,02/28/2007,"$3,926.90",938.30
15,02/28/2009,"$4,440.80","1,525.20"
16,02/28/2010,"$4,733.00","1,160.20"
17,02/28/2011,"$5,079.00","1,127.90"
18,02/28/2013,"$6,187.00","1,085.40"
19,02/28/2014,"$6,972.00","1,067.70"
20,02/28/2015,"$7,460.00","1,099.50"
21,02/28/2017,"$8,432.00","1,132.10"
22,02/28/2018,"$8,984.00","1,071.00"
23,02/28/2019,"$9,611.00","1,117.80"
24,02/29/1988,$331.79,
25,02/29/1992,$867.02,
26,02/29/1996,"$1,491.60",
27,02/29/2000,"$2,161.60",
28,02/29/2004,"$2,904.00","1,176.50"
29,02/29/2008,"$4,544.40",937.30
30,02/29/2012,"$5,656.00","1,126.50"
31,02/29/2016,"$8,032.00","1,235.40"
32,05/31/1988,$354.42,
33,05/31/1989,$413.42,
34,05/31/1990,$609.02,
35,05/31/1991,$718.97,
36,05/31/1992,$847.61,
37,05/31/1993,$983.28,
38,05/31/1994,"$1,004.20",
39,05/31/1995,"$1,412.00",
40,05/31/1996,"$1,852.10",
41,05/31/1997,"$2,373.90",
42,05/31/1998,"$2,307.80",
43,05/31/1999,"$2,182.30",
44,05/31/2000,"$2,272.70",
45,05/31/2001,"$2,483.30",
46,05/31/2002,"$2,682.20",
47,05/31/2003,"$2,985.10",
48,05/31/2004,"$3,487.10","1,165.70"
49,05/31/2005,"$3,721.40","1,002.50"
50,05/31/2006,"$4,005.40",947.60
51,05/31/2007,"$4,383.20",929.90
52,05/31/2008,"$5,088.00","1,026.70"
53,05/31/2009,"$4,712.90","1,258.80"
54,05/31/2010,"$5,077.00","1,200.20"
55,05/31/2011,"$5,021.00","1,080.60"
56,05/31/2012,"$6,048.00","1,177.80"
57,05/31/2013,"$6,697.00","1,128.30"
58,05/31/2014,"$7,425.00","1,020.40"
59,05/31/2015,"$7,779.00","1,107.60"
60,05/31/2016,"$8,244.00","1,190.60"
61,05/31/2017,"$8,677.00","1,123.90"
62,05/31/2018,"$9,789.00","1,081.30"
63,05/31/2019,"$10,184.00","1,190.00"
64,08/31/1987,$282.83,
65,08/31/1988,$510.69,
66,08/31/1989,$602.65,
67,08/31/1990,$833.61,
68,08/31/1991,$947.16,
69,08/31/1992,"$1,099.90",
70,08/31/1993,"$1,107.90",
71,08/31/1994,"$1,170.40",
72,08/31/1995,"$1,700.00",
73,08/31/1996,"$2,281.90",
74,08/31/1997,"$2,766.10",
75,08/31/1998,"$2,504.80",
76,08/31/1999,"$2,501.10",
77,08/31/2000,"$2,636.70",
78,08/31/2001,"$2,613.70",
79,08/31/2002,"$2,796.30",
80,08/31/2003,"$3,024.90",
81,08/31/2004,"$3,561.80","1,153.80"
82,08/31/2005,"$3,862.00","1,031.00"
83,08/31/2006,"$4,194.10",959.60
84,08/31/2007,"$4,655.10",939.90
85,08/31/2008,"$5,432.20","1,087.00"
86,08/31/2009,"$4,799.00","1,244.90"
87,08/31/2010,"$5,175.00","1,189.10"
88,08/31/2011,"$6,081.00","1,071.70"
89,08/31/2012,"$6,474.00","1,134.60"
90,08/31/2013,"$6,971.00","1,109.60"
91,08/31/2014,"$7,982.00","1,014.90"
92,08/31/2015,"$8,414.00","1,176.30"
93,08/31/2016,"$9,061.00","1,118.50"
94,08/31/2017,"$9,070.00","1,122.80"
95,08/31/2018,"$9,948.00","1,108.80"
96,08/31/2019,"$10,660.00","1,209.60"
97,11/30/1987,$234.41,
98,11/30/1988,$322.03,
99,11/30/1989,$445.70,
100,11/30/1990,$648.83,
101,11/30/1991,$743.42,
102,11/30/1992,$875.84,
103,11/30/1993,$805.79,
104,11/30/1994,"$1,053.70",
105,11/30/1995,"$1,443.00",
106,11/30/1996,"$2,107.00",
107,11/30/1997,"$2,255.30",
108,11/30/1998,"$1,913.00",
109,11/30/1999,"$2,059.70",
110,11/30/2000,"$2,198.70",
111,11/30/2001,"$2,336.80",
112,11/30/2002,"$2,514.70",
113,11/30/2003,"$2,837.10",
114,11/30/2004,"$3,148.30","1,047.90"
115,11/30/2005,"$3,474.70","1,036.30"
116,11/30/2006,"$3,821.70",929.90
117,11/30/2007,"$4,339.50",929.60
118,11/30/2008,"$4,590.10","1,463.30"
119,11/30/2009,"$4,405.00","1,167.40"
120,11/30/2010,"$4,842.00","1,157.30"
121,11/30/2011,"$5,546.00","1,150.30"
122,11/30/2012,"$5,955.00","1,084.70"
123,11/30/2013,"$6,431.00","1,058.90"
124,11/30/2014,"$7,380.00","1,105.00"
125,11/30/2015,"$7,686.00","1,150.40"
126,11/30/2016,"$8,180.00","1,168.50"
127,11/30/2017,"$8,554.00","1,082.40"
128,11/30/2018,"$9,374.00","1,121.80"
